GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mentara-server,com.mentara.entity,Appointment,15,103,0,0,1,21,4,26,4,26
mentara-server,com.mentara.entity,ExpertSchedule,46,387,18,38,14,82,22,31,4,21
mentara-server,com.mentara.entity,PostReplyNotification,165,0,32,0,5,0,27,0,11,0
mentara-server,com.mentara.entity,CommentReplyNotification,165,0,32,0,5,0,27,0,11,0
mentara-server,com.mentara.entity,ChatRoom,362,56,78,0,3,12,51,12,12,12
mentara-server,com.mentara.entity,Report.State,0,27,0,0,0,5,0,1,0,1
mentara-server,com.mentara.entity,CommentReport,35,32,0,0,15,12,10,5,10,5
mentara-server,com.mentara.entity,Expert,19,33,0,0,1,8,5,10,5,10
mentara-server,com.mentara.entity,UserRole,3,32,0,0,1,7,1,2,1,2
mentara-server,com.mentara.entity,ChatMessage,208,34,46,0,0,8,29,10,6,10
mentara-server,com.mentara.entity,UserFollow,210,16,38,0,6,7,32,3,13,3
mentara-server,com.mentara.entity,CommentLike,184,17,38,0,2,4,28,4,9,4
mentara-server,com.mentara.entity,Report,255,31,54,0,3,7,37,8,10,8
mentara-server,com.mentara.entity,Notification,165,26,34,0,0,8,24,7,7,7
mentara-server,com.mentara.entity,Post,662,128,150,0,4,23,87,30,12,30
mentara-server,com.mentara.entity,UserAuth,49,21,12,0,7,4,11,6,5,6
mentara-server,com.mentara.entity,Comment,422,95,90,0,0,21,55,24,10,24
mentara-server,com.mentara.entity,UserBlock,253,19,46,0,7,8,38,3,15,3
mentara-server,com.mentara.entity,SystemNotification,138,24,32,0,1,4,20,7,4,7
mentara-server,com.mentara.entity,PostLikeNotification,164,0,32,0,5,0,27,0,11,0
mentara-server,com.mentara.entity,CommentReport.State,0,27,0,0,0,5,0,1,0,1
mentara-server,com.mentara.entity,MoodScore,416,69,80,0,5,12,50,17,10,17
mentara-server,com.mentara.entity,PostLike,187,15,38,0,4,3,29,4,10,4
mentara-server,com.mentara.entity,ChatRoomUser,276,41,62,0,1,7,38,12,7,12
mentara-server,com.mentara.entity,MoodScore.ContentType,0,15,0,0,0,3,0,1,0,1
mentara-server,com.mentara.entity,PostTag,8,28,0,0,0,6,2,6,2,6
mentara-server,com.mentara.entity,CommentLikeNotification,164,0,32,0,5,0,27,0,11,0
mentara-server,com.mentara.entity,Checkin,39,45,0,0,2,11,5,12,5,12
mentara-server,com.mentara.entity,User,122,168,8,4,13,36,32,40,27,39
mentara-server,com.mentara.enums,PostState,3,39,0,0,1,8,1,2,1,2
mentara-server,com.mentara.enums,MoodType,0,75,0,0,0,13,0,1,0,1
mentara-server,com.mentara.enums,ChatRoomType,0,21,0,0,0,4,0,1,0,1
mentara-server,com.mentara.enums,ChatType,0,27,0,0,0,5,0,1,0,1
mentara-server,com.mentara.config,WebClientConfig,0,13,0,0,0,4,0,3,0,3
mentara-server,com.mentara.config,WebSocketSecurityConfig,0,44,0,0,0,9,0,3,0,3
